BookURI	BookCats	BookID	BookTitle	AuthorID	AuthorNam	EditorID	EditorNam	TranslID	TranslNam	BookRel
1314JamalDinAfghani.TatimmatBayanFiTarikhAfghan.Hindawi96948464	history	96948464	تتمة البيان في تاريخ الأفغان	71572096	جمال الدين الأفغاني	None	None	None	None	None
1315MuhammadCuthmanJalal.KhaddaminWaMukhaddamin.Hindawi18240308	plays	18240308	الخدامين والمخدمين	52720373	محمد عثمان جلال	None	None	None	None	None
1315MuhammadCuthmanJalal.MadrasatAzwaj.Hindawi64803140	plays	64803140	مدرسة الأزواج	52720373	محمد عثمان جلال	None	None	None	None	None
1315MuhammadCuthmanJalal.ShaykhMatluf.Hindawi53624727	plays	53624727	الشيخ متلوف	52720373	محمد عثمان جلال	None	None	None	None	None
1315MuhammadCuthmanJalal.Thuqala.Hindawi90402574	plays	90402574	الثقلاء	52720373	محمد عثمان جلال	None	None	None	None	None
1316AtribiAbuCizz.NubdhaCanSin.Hindawi17481961	travel.literature	17481961	نبذة عن الصين	94606146 :: 17381394	أتربي أبو العز :: عبد العزيز حمد	None	None	None	None	None
1316HannaKasbaniKurani.TamaddunHadith.Hindawi42626197	social.sciences	42626197	التمدن الحديث وتأثيره في الشرق	80209751	هنا كسباني كوراني	None	None	None	None	None
1316NajibHaddad.FursanThalatha.Hindawi53179097	novels	53179097	الفرسان الثلاثة	26064860	ألكسندر ديماس	None	None	25707097	نجيب الحداد	1287AlexandreDumas.TroisMousquetaires (TRANSL)
1316NajibHaddad.GhusnBan.Hindawi59270690	novels	59270690	غصن البان في رياض الجنان	82085960	ألفونس دو لامارتين	None	None	25707097	نجيب الحداد	1285AlphonseDeLamartine (TRANSL)
1316NajibHaddad.MalikatQulub.Hindawi30709294	novels	30709294	ملكة القلوب	25707097	نجيب الحداد	None	None	None	None	None
1316NajibHaddad.RajaBacdaYas.Hindawi94064849	novels	94064849	الرجاء بعد اليأس	25707097	نجيب الحداد	None	None	None	None	None
1316NajibHaddad.SalahDinAyyubi.Hindawi58481696	plays	58481696	صلاح الدين الأيوبي	25707097	نجيب الحداد	None	None	None	None	None
1316NajibHaddad.TharatCarab.Hindawi40350828	plays	40350828	ثارات العرب: أدبية تاريخية غرامية تشخيصية	25707097	نجيب الحداد	None	None	None	None	None
1318SulaymanIbnKhalil.TarikhQustantiniyya.Hindawi29064250	history	29064250	التحفة السنية في تاريخ القسطنطينية	94197313	سليمان بن خليل بن بطرس بن جاويش	None	None	None	None	None
1320AbuKhalilQabbani.AmirMahmud.Hindawi51803716	plays	51803716	الأمير محمود نجل شاه العجم	80906818	أحمد أبو خليل القباني	None	None	None	None	None
1320AbuKhalilQabbani.CantarIbnShaddad.Hindawi35251309	plays	35251309	عنتر بن شداد: تاريخية أدبية غرامية حربية تلحينية تشخيصية ذات أربعة فصول	80906818	أحمد أبو خليل القباني	None	None	None	None	None
1320AbuKhalilQabbani.HarunRashidMacaAmirGhanim.Hindawi74806249	plays	74806249	هارون الرشيد مع الأمير غانم بن أيوب وقوت القلوب: رواية تاريخية غرامية أدبية تلحينية تشخيصية	80906818	أحمد أبو خليل القباني	None	None	None	None	None
1320AbuKhalilQabbani.HarunRashidMacaAnasJalis.Hindawi50840694	plays	50840694	هارون الرشيد مع أنس الجليس	80906818	أحمد أبو خليل القباني	None	None	None	None	None
1320AbuKhalilQabbani.HiyalNisa.Hindawi58630741	plays	58630741	حيل النساء	80906818	أحمد أبو خليل القباني	None	None	None	None	None
